root_id,pathway_type,in_deg,in_strength,sum_w2,mu2_over_mu1sq,norm_robustness,norm_robustness_shuffled,nt_type,primary_type
720575940631557839,T4,24.0,62.0,512.0,3.1966701352757543,4.432743702287991,1.0864224933373305,ACH,T4a
720575940631561784,T4,40.0,125.0,1349.0,3.45344,5.764077423471646,0.9803358640462149,ACH,T4d
720575940631567687,T4,40.0,99.0,537.0,2.19161310070401,2.5979033960819162,0.9904472440746867,ACH,T4b
720575940631598863,T4,65.0,193.0,1501.0,2.6192649467099787,3.959237844668632,1.0813884047697377,ACH,T4c
720575940631601227,T4,42.0,106.0,490.0,1.831612673549306,1.9456577995941045,1.0906056204698753,ACH,T4b
720575940631610472,T4,47.0,111.0,843.0,3.21572924275627,4.108523906853825,0.7278104240141093,ACH,T4c
720575940631615993,T4,65.0,217.0,1983.0,2.737263479793582,4.675660566435845,0.8319725710121967,ACH,T4c
720575940631619667,T4,40.0,132.0,1076.0,2.470156106519743,4.039991358757843,0.8305131500993613,,T4a
720575940631620089,T4,63.0,199.0,1607.0,2.5565263503446882,4.062514965216617,0.9216066656791287,ACH,T4a
720575940631622712,T4,52.0,145.0,821.0,2.030535077288942,2.5662523394713697,0.9593482355951192,ACH,T4b
720575940631623466,T4,56.0,173.0,1475.0,2.75986501386615,4.393290784419719,0.7894023779540088,ACH,T4c
720575940631624248,T4,47.0,163.0,1129.0,1.997177161353457,3.059669541292039,0.6866296756832635,ACH,T4a
720575940631626514,T4,28.0,84.0,542.0,2.1507936507936507,3.01588114982129,0.9554378010411078,ACH,T4b
720575940631626552,T4,49.0,159.0,1703.0,3.3007792413274792,5.681911495837794,1.0003608529868502,ACH,T4a
720575940631629899,T4,43.0,125.0,1545.0,4.25184,6.666236261545154,0.7469678540242044,ACH,T4c
720575940631633208,T4,52.0,207.0,2735.0,3.3190972951527455,6.931023542000599,0.7870648908427329,ACH,T4b
720575940631637048,T4,59.0,184.0,1436.0,2.5024810964083177,3.900386019219494,1.0008613065523637,ACH,T4b
720575940631649807,T4,41.0,94.0,588.0,2.7283838841104573,3.28513882929356,0.9459721376362927,,T4d
720575940631650335,T4,26.0,60.0,270.0,1.95,2.0100700485440255,0.7427896652420269,,T4d
720575940631652427,T4,36.0,92.0,598.0,2.5434782608695654,3.31315035055325,0.8051914640972185,,T4a
720575940631653463,T4,36.0,108.0,798.0,2.462962962962963,3.680549492237453,1.0516552988031607,ACH,T4c
720575940631656877,T4,52.0,130.0,820.0,2.523076923076923,3.2116178171319647,1.0494876194248852,ACH,T4d
720575940631668072,T4,64.0,192.0,1550.0,2.6909722222222223,4.1397290131970665,1.144386715393651,ACH,T4b
720575940631671889,T4,39.0,89.0,379.0,1.8660522661280141,1.8370586986767485,0.9054781674174829,ACH,T4c
720575940631679080,T4,59.0,178.0,1138.0,2.119113748264108,2.9613326192270457,1.1914705861637302,ACH,T4d
720575940631680312,T4,47.0,140.0,1480.0,3.548979591836735,5.675640774066376,0.8314027070087636,,T4d
720575940631685480,T4,59.0,206.0,2568.0,3.5703647846168347,6.628512411999507,1.121282573787432,ACH,T4b
720575940631687471,T4,40.0,142.0,1414.0,2.804999008133307,5.107672222628497,1.183059044617526,ACH,T4d
720575940631696697,T4,69.0,203.0,1801.0,3.0155791210657865,4.675237941349742,1.1128411375310485,ACH,T4c
720575940631708238,T4,9.0,16.0,72.0,2.53125,2.3639610306789263,2.3639610306789263,ACH,T4c
720575940631711951,T4,29.0,67.0,313.0,2.022053909556694,2.141956459861539,0.6212037087853658,ACH,T4c
720575940631723050,T4,38.0,106.0,558.0,1.8871484514061945,2.257631794652839,1.2269732350019942,ACH,T4d
720575940631724611,T4,36.0,102.0,768.0,2.657439446366782,3.8622547260616207,1.381778531425218,,T4a
720575940631725452,T4,61.0,181.0,1453.0,2.705442446811758,4.125696229613134,0.9323841157741706,ACH,T4b
720575940631725880,T4,66.0,217.0,1825.0,2.557922232368494,4.220993823612515,0.9502765269864849,ACH,T4c
720575940631729548,T4,58.0,176.0,1426.0,2.6700671487603307,4.142411081083837,0.8604185759145755,ACH,T4b
720575940631732536,T4,49.0,126.0,758.0,2.3395061728395063,2.9664476547850898,1.4125639506316534,,T4d
720575940631736680,T4,36.0,100.0,708.0,2.5488,3.58923402893894,1.0575526551308128,ACH,T4c
720575940631739309,T4,55.0,144.0,1062.0,2.8168402777777777,3.8638605595058038,0.7310189898455366,ACH,T4c
720575940631748653,T4,48.0,137.0,945.0,2.4167510256273643,3.4222974222327847,0.8696579361506724,ACH,T4a
720575940631752249,T4,50.0,149.0,1111.0,2.502139543263817,3.7375191146613607,1.111703553304333,ACH,T4c
720575940631752877,T4,60.0,175.0,1299.0,2.544979591836735,3.748331264182503,0.8796906956630772,ACH,T4b
720575940631754819,T4,47.0,171.0,1523.0,2.4479668957969976,4.373533639488623,0.9549536789147238,ACH,T4b
720575940631755746,T4,50.0,146.0,1304.0,3.058735222368174,4.720657470761447,0.98518245695697,ACH,T4b
720575940631758562,T4,58.0,150.0,1074.0,2.7685333333333335,3.738796349582548,1.1225728643470583,ACH,T4b
720575940631762233,T4,49.0,141.0,1145.0,2.8220411448116294,4.2274997105441185,0.8953785437985791,ACH,T4b
720575940631764108,T4,46.0,142.0,990.0,2.2584804602261457,3.338196113077648,1.102326396898693,ACH,T4a
720575940631767436,T4,60.0,219.0,2083.0,2.6058672671545633,4.7727353759099955,0.9596472587622227,ACH,T4a
720575940631778090,T4,44.0,99.0,675.0,3.0303030303030303,3.6699281608615686,1.066708954466535,,T4d
720575940631781443,T4,65.0,193.0,1407.0,2.4552336975489273,3.629549331238349,1.3166319592819724,ACH,T4b
720575940631783365,T4,50.0,120.0,468.0,1.625,1.4442686279451555,0.7015203356989648,,T4d
720575940631784808,T4,68.0,175.0,1313.0,2.915395918367347,3.966064053639212,1.2875787214227314,ACH,T4c
720575940631789880,T4,44.0,147.0,1243.0,2.5309824610116154,4.224467875216429,0.8380314896369422,ACH,T4b
720575940631802565,T4,30.0,60.0,192.0,1.6,1.1787190623174593,1.1493287371248937,ACH,T4c
720575940631804845,T4,29.0,70.0,320.0,1.8938775510204082,1.9878847240288424,0.9872914606837125,ACH,T4c
720575940631817868,T4,49.0,158.0,1740.0,3.415318058003525,5.864545521570316,0.6763463774350674,ACH,T4d
